city,latitude,longitude,timestamp,aqi,pm2_5,pm10,no2,o3,co,so2,nh3,aqi_category,cluster_id,new_category,bmkg_normalized
Semarang,-6.9932,110.4203,2026-04-20T10:02:36.909628,1,7.97,13.58,1.4,47.0,138.95,1.37,1.24,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-20T10:02:37.100271,1,3.92,6.08,0.25,41.32,100.88,0.11,0.06,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-20T10:02:37.297759,1,2.97,3.75,0.84,26.39,194.74,0.34,0.34,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-20T10:02:37.492587,1,10.42,14.74,2.03,51.45,175.84,1.0,1.06,Baik,1,Baru_Baik,Baru_Baik
Depok,-6.4025,106.7942,2026-04-20T10:02:37.679769,1,6.87,13.84,0.72,46.07,106.72,0.42,0.42,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-20T10:02:37.867705,1,9.9,15.24,1.96,48.85,169.1,0.96,0.98,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-20T10:04:45.549585,1,9.9,15.24,1.96,48.85,169.1,0.96,0.98,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-20T10:04:45.557167,1,7.57,11.43,1.77,47.6,194.85,0.69,1.27,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-20T10:04:45.565223,1,6.28,12.66,0.27,47.86,86.08,0.42,0.37,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-20T10:04:45.571738,1,1.87,2.66,0.32,11.78,130.1,0.07,1.43,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-20T10:04:45.577728,1,7.97,13.58,1.4,47.0,138.95,1.37,1.24,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-20T10:04:45.584993,1,3.92,6.08,0.25,41.32,100.88,0.11,0.06,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-20T10:04:45.592713,1,2.97,3.75,0.84,26.39,194.74,0.34,0.34,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-20T10:04:45.602473,1,10.42,14.74,2.03,51.45,175.84,1.0,1.06,Baik,1,Baru_Baik,Baru_Baik
Depok,-6.4025,106.7942,2026-04-20T10:04:45.608961,1,6.87,13.84,0.72,46.07,106.72,0.42,0.42,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-20T10:04:45.617132,1,9.9,15.24,1.96,48.85,169.1,0.96,0.98,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-20T10:04:48.749012,1,9.9,15.24,1.96,48.85,169.1,0.96,0.98,Baik,1,Baru_Baik,Baru_Baik
